sector_id,sector_name,ia_broad_group,asset_class,equity_min_pct,equity_max_pct,fixed_income_min_pct,core_currency,definition_summary,relevant_to_keyridge,keyridge_funds,mandate_category
IA001,Short Term Money Market,capital_protection,money_market,0,0,100,any,"Invests in money market instruments complying with MMFR Short Term Money Market definition. CNAV/LVNAV/VNAV structures permitted.",FALSE,,
IA002,Standard Money Market,capital_protection,money_market,0,0,100,any,"Invests in money market instruments complying with MMFR Standard Money Market definition. Variable NAV structure.",TRUE,WS Keyridge Sterling Liquidity,money_market
IA003,UK Gilts,fixed_income_income,government_bond,0,5,95,GBP,"At least 95% in Sterling or hedged-to-Sterling government securities. At least 80% in UK conventional Gilts rated same or higher than UK sovereign.",FALSE,,
IA004,UK Index Linked Gilts,fixed_income_income,government_bond,0,5,95,GBP,"At least 95% in Sterling or hedged-to-Sterling government index-linked securities. At least 80% in UK Index Linked Gilts.",FALSE,,
IA005,Sterling Corporate Bond,fixed_income_income,corporate_bond,0,20,80,GBP,"At least 80% in Sterling or hedged-to-Sterling BBB- or above corporate bonds. Supranational and government-backed debt counts toward core.",TRUE,WS Keyridge Corporate Bond,corporate_bond
IA006,Sterling Strategic Bond,fixed_income_income,multi_credit,0,20,80,GBP,"At least 80% in Sterling or hedged-to-Sterling fixed interest. Manager retains right to invest across full Sterling credit risk spectrum at any time.",FALSE,,
IA007,Sterling High Yield,fixed_income_income,high_yield,0,20,80,GBP,"At least 80% in Sterling or hedged-to-Sterling below BBB- fixed interest securities.",FALSE,,
IA008,USD Government Bond,fixed_income_income,government_bond,0,5,80,USD,"At least 80% in USD government bonds issued or explicitly guaranteed by the US government.",FALSE,,
IA009,EUR Government Bond,fixed_income_income,government_bond,0,5,80,EUR,"At least 80% in EUR government bonds issued or explicitly guaranteed by European governments.",FALSE,,
IA010,Global Government Bond,fixed_income_income,government_bond,0,5,80,global,"At least 80% in a diversified portfolio of government-backed securities from around the world in a variety of currencies.",FALSE,,
IA011,Global Inflation Linked Bond,fixed_income_income,government_bond,0,5,80,global,"At least 80% in a diversified portfolio of inflation-linked bond securities from around the world in a variety of issuers and currencies.",FALSE,,
IA012,USD Corporate Bond,fixed_income_income,corporate_bond,0,20,80,USD,"At least 80% in USD-denominated BBB- or above corporate bond securities. Supranational and government-backed debt counts toward core.",FALSE,,
IA013,EUR Corporate Bond,fixed_income_income,corporate_bond,0,20,80,EUR,"At least 80% in EUR-denominated BBB- or above corporate bond securities. Supranational and government-backed debt counts toward core.",FALSE,,
IA014,Global Corporate Bond,fixed_income_income,corporate_bond,0,20,80,global,"At least 80% in a diversified portfolio of BBB- or above corporate bonds from around the world in a variety of currencies.",FALSE,,
IA015,USD Mixed Bond,fixed_income_income,multi_credit,0,20,80,USD,"At least 80% in USD bond securities. Manager retains right to invest across full USD bond credit and type spectrum at any time.",FALSE,,
IA016,EUR Mixed Bond,fixed_income_income,multi_credit,0,20,80,EUR,"At least 80% in EUR bond securities. Manager retains right to invest across full EUR bond credit and type spectrum at any time.",FALSE,,
IA017,Global Mixed Bond,fixed_income_income,multi_credit,0,20,80,global,"At least 80% in bond securities across credit type and currency spectrum globally. Manager retains flexibility across bond types and currencies.",TRUE,WS Keyridge Global Macro Bond,global_macro_bond
IA018,USD High Yield Bond,fixed_income_income,high_yield,0,20,80,USD,"At least 80% in USD-denominated below BBB- fixed income securities.",FALSE,,
IA019,EUR High Yield Bond,fixed_income_income,high_yield,0,20,80,EUR,"At least 80% in EUR-denominated below BBB- fixed income securities.",FALSE,,
IA020,Global High Yield Bond,fixed_income_income,high_yield,0,20,80,global,"At least 80% in a diversified portfolio of below BBB- fixed income from around the world in a variety of issuers and currencies.",FALSE,,
IA021,Global Emerging Markets Bond - Hard Currency,fixed_income_income,em_bond,0,5,80,hard_currency,"At least 80% in emerging market bond issuers (sovereign or corporate) denominated in hard currency. Must be diversified without country or regional focus.",FALSE,,
IA022,Global Emerging Markets Bond - Local Currency,fixed_income_income,em_bond,0,5,80,local_currency,"At least 80% in emerging market bond issuers (sovereign or corporate) denominated in local currencies. Must be diversified without country or regional focus.",FALSE,,
IA023,Global Emerging Markets Bond - Blended,fixed_income_income,em_bond,0,5,80,blended,"At least 80% in emerging market bond issuers. May have hard or local currency bias at different times. Must be diversified without country or regional focus.",FALSE,,
IA024,UK Equity Income,equity_income,uk_equity,80,100,0,GBP,"At least 80% in UK equities. Must yield in excess of 100% of FTSE All Share yield on 3-year rolling basis and 90% annually. Income is a primary objective.",TRUE,WS Keyridge UK Equity Income,uk_equity_income
IA025,Global Equity Income,equity_income,global_equity,80,100,0,global,"At least 80% globally in equities diversified by region. Must yield in excess of 100% of MSCI World yield on 3-year rolling basis and 90% annually.",FALSE,,
IA026,UK All Companies,equity_growth,uk_equity,80,100,0,GBP,"At least 80% in UK equities with primary objective of capital growth. No income requirement. Flexibility across market cap and style.",TRUE,WS Keyridge UK Equity,uk_equity
IA027,UK Smaller Companies,equity_growth,uk_equity,80,100,0,GBP,"At least 80% in UK equities of companies forming the smallest 15% by market capitalisation. Universe constructed monthly by monitoring company.",FALSE,,
IA028,Asia Pacific Including Japan,equity_growth,asia_pacific_equity,80,100,0,global,"At least 80% in Asia Pacific equities including Japanese content. Japanese content must be less than 80% of assets.",TRUE,WS Keyridge Asia Pacific,asia_pacific_equity
IA029,Asia Pacific Excluding Japan,equity_growth,asia_pacific_equity,80,100,0,global,"At least 80% in Asia Pacific equities. Japanese securities excluded. Up to 5% in Japanese equities permitted for corporate action flexibility only.",FALSE,,
IA030,China / Greater China,equity_growth,global_equity,80,100,0,global,"At least 80% directly or indirectly in equities of PRC, Hong Kong or Taiwan. May invest solely in China or diversified across Greater China.",FALSE,,
IA031,Europe Including UK,equity_growth,european_equity,80,100,0,global,"At least 80% in European equities. May include UK equities but these must not exceed 80% of the fund.",FALSE,,
IA032,Europe Excluding UK,equity_growth,european_equity,80,100,0,global,"At least 80% in European equities. UK securities excluded. Up to 5% in UK equities permitted for corporate action flexibility only.",TRUE,WS Keyridge European,european_equity
IA033,European Smaller Companies,equity_growth,european_equity,80,100,0,global,"At least 80% in European equities of companies forming the smallest 30% by market capitalisation. May include UK equities up to 80%.",FALSE,,
IA034,Global,equity_growth,global_equity,80,100,0,global,"At least 80% globally in equities. Must be diversified by geographic region. Includes thematic and style-biased global funds provided geographic diversification is maintained.",TRUE,WS Keyridge Global Equity,global_equity
IA035,Global Emerging Markets,equity_growth,global_equity,80,100,0,global,"80% or more in equities from emerging market countries per FTSE or MSCI Emerging Markets and Frontier indices. Maximum 20% frontier equity exposure.",FALSE,,
IA036,India / Indian Subcontinent,equity_growth,global_equity,80,100,0,global,"At least 80% in equities of India or the Indian subcontinent. May invest solely in India or diversified across the subcontinent.",FALSE,,
IA037,Japan,equity_growth,global_equity,80,100,0,global,"At least 80% in Japanese equities.",FALSE,,
IA038,Latin America,equity_growth,global_equity,80,100,0,global,"At least 80% in Latin American equities as defined by recognised indices. Expected to be diversified; single country funds classified to Specialist.",FALSE,,
IA039,North America,equity_growth,north_american_equity,80,100,0,global,"At least 80% in North American equities. US-focused funds qualify; Canada-only funds classified to Specialist.",TRUE,WS Keyridge North American,north_american_equity
IA040,North American Smaller Companies,equity_growth,north_american_equity,80,100,0,global,"At least 80% in North American equities of companies forming the bottom 20% by market capitalisation.",FALSE,,
IA041,Mixed Investment 0-35% Shares,mixed_asset,mixed_asset,0,35,45,GBP,"Maximum 35% equity. Minimum 45% investment grade fixed income and cash. Designed for cautious investors seeking capital preservation with some growth.",TRUE,"WS Keyridge DRM III; WS Keyridge Portfolio III",multi_asset_cautious
IA042,Mixed Investment 20-60% Shares,mixed_asset,mixed_asset,20,60,30,GBP,"Minimum 20% and maximum 60% equity. Minimum 30% fixed income and cash. Designed for balanced investors seeking growth and income.",TRUE,"WS Keyridge DRM IV; WS Keyridge Portfolio IV; WS Keyridge Diversified Monthly Income",multi_asset_balanced
IA043,Mixed Investment 40-85% Shares,mixed_asset,mixed_asset,40,85,0,GBP,"Minimum 40% and maximum 85% equity. No minimum fixed income requirement. Designed for growth-oriented investors with higher equity tolerance.",TRUE,"WS Keyridge DRM V; WS Keyridge DRM VI; WS Keyridge Portfolio V; WS Keyridge Portfolio VI",multi_asset_growth
IA044,Flexible Investment,mixed_asset,mixed_asset,0,100,0,GBP,"No minimum or maximum equity requirement. Manager has significant discretion over asset allocation and may invest up to 100% in equities.",TRUE,WS Keyridge Portfolio VII,multi_asset_aggressive
IA045,Volatility Managed,outcome,volatility_managed,0,100,0,GBP,"Funds whose objective is to manage returns within specified volatility parameters. A fund may form part of a suite across a risk spectrum. Asset selection at manager discretion.",TRUE,"WS Keyridge DRM III; WS Keyridge DRM IV; WS Keyridge DRM V; WS Keyridge DRM VI",volatility_managed
IA046,Targeted Absolute Return,outcome,absolute_return,0,100,0,GBP,"Managed with the aim of delivering positive returns in any market conditions (not guaranteed). Must state timeframe not exceeding three years.",FALSE,,
IA047,Commodities and Natural Resources,specialist,specialist_equity,80,100,0,global,"At least 80% in commodity or natural resources related equities. May be diversified across commodities or focused on specific industries.",FALSE,,
IA048,Financials and Financial Innovation,specialist,specialist_equity,80,100,0,global,"At least 80% in equities of financial services companies including banking, insurance, capital markets, fintech and consumer finance in any country.",FALSE,,
IA049,Healthcare,specialist,specialist_equity,80,100,0,global,"At least 80% in equities of healthcare companies including pharmaceuticals, equipment and services. Diversified across healthcare sectors.",FALSE,,
IA050,Infrastructure,specialist,specialist_equity,80,100,0,global,"At least 80% (directly or indirectly) in companies involved in ownership, operation or maintenance of infrastructure assets. Equities primary but debt and REITs may contribute.",FALSE,,
IA051,Technology and Technology Innovation,specialist,specialist_equity,80,100,0,global,"At least 80% in equities of technology and related sectors including telecommunications, robotics and online retailers. Fintech excluded (see Financials sector).",FALSE,,
IA052,UK Direct Property,specialist,property,0,0,0,GBP,"Average at least 70% in UK direct property over 5-year rolling periods. Must be balanced (diversified by type and location). Specialist property funds go to Property Other.",FALSE,,
IA053,Property Other,specialist,property,0,80,0,GBP,"Predominantly property but does not meet UK Direct Property requirements. Includes offshore property, property securities funds, and hybrid direct/securities funds.",FALSE,,
IA054,Specialist Bond,specialist,specialist_bond,0,40,80,global,"At least 80% in bond securities not qualifying for any other IA bond sector. Includes convertibles, ABS specialists, short-duration strategies, and unrated bond-focused funds.",TRUE,"WS Keyridge Short Duration Corporate Bond; WS Keyridge Sterling Short Term Bond",short_duration_bond
IA055,Unclassified,specialist,unclassified,0,100,0,any,"Funds not classified into other IA sectors including private funds and funds removed from other sectors for non-compliance. IA collects static data only.",FALSE,,
