Fund Name,ISIN,SEDOL,Share Class,Unit Type,IA Sector,Mandate Category,DP Profile,Risk Rating,OCF %,Fund Size £m,Benchmark,1yr %,3yr %,5yr %,Perf Date,Factsheet Date,ACD,ESG,Confidence
WS Keyridge Portfolio III Fund,GB00B96T7P76,B96T7P7,C,Acc,IA Mixed Investment 0-35% Shares,multi_asset_cautious,3,,0.65,80.7,IA Mixed Investment 0-35% Shares,9.89,20.72,17.37,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Portfolio IV Fund,GB00B976VR77,B976VR7,C,Acc,IA Mixed Investment 20-60% Shares,multi_asset_balanced,4,,0.65,267.8,IA Mixed Investment 20-60% Shares,12.53,25.75,27.78,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Portfolio V Fund,GB00B9BQJ249,B9BQJ24,C,Acc,IA Mixed Investment 40-85% Shares,multi_asset_growth,5,,0.65,319.9,IA Mixed Investment 40-85% Shares,14.84,32.48,42.32,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Portfolio VI Fund,GB00B9BQBN99,B9BQBN9,C,Acc,IA Mixed Investment 40-85% Shares,multi_asset_aggressive,6,,0.65,219.1,IA Mixed Investment 40-85% Shares,17.39,36.89,48.62,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Portfolio VII Fund,GB00B76WGJ99,B76WGJ9,C,Acc,IA Flexible Investment,multi_asset_aggressive_plus,7,,0.65,70.4,IA Flexible Investment,20.21,41.43,57.4,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Diversified Risk Managed III Fund,GB00BZ005541,BZ00554,C,Acc,IA Volatility Managed,multi_asset_cautious,3,3,0.69,121.5,IA Mixed Investment 0-35% Shares,9.83,22.46,22.79,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Diversified Risk Managed IV Fund,GB00BJP0X429,BJP0X42,C,Acc,IA Volatility Managed,multi_asset_balanced,4,4,0.70,81.1,IA Mixed Investment 20-60% Shares,13.16,28.5,34.65,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Diversified Risk Managed VI Fund,GB00BP5J8Z72,BP5J8Z7,C,Acc,IA Volatility Managed,multi_asset_aggressive,6,6,0.69,220.4,IA Mixed Investment 40-85% Shares,16.84,38.59,50.4,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge Diversified Monthly Income Fund,GB00BK5BDD18,BK5BDD1,C,Inc,IA Mixed Investment 20-60% Shares,multi_asset_income,,,0.67,101.3,IA Mixed Investment 20-60% Shares,15.07,30.25,45.69,2026-02-28,2026-02-28,Waystone Management (UK) Ltd,False,
WS Keyridge UK Equity Fund,GB00B9J7KW65,B9J7KW6,C Acc,Accumulation,IA UK All Companies,uk_equity,,,0.86,135.7,"Bloomberg UK Large, Mid & Small Cap Total Return Index",18.73,34.96,70.6,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge UK Equity Income Fund,GB00B73RC112,B73RC11,C Acc,Accumulation,IA UK Equity Income,uk_equity_income,,,0.84,131.9,"Bloomberg UK Large, Mid & Small Cap Total Return Index",28.26,50.41,92.71,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge UK Equity and Bond Income Fund,GB00B6SC4F24,B6SC4F2,C Acc,Accumulation,Specialist,uk_equity_bond_income,,,0.97,25.2,"Bloomberg UK Large, Mid & Small Cap Total Return Index",24.24,40.99,71.66,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge European Fund,GB00BKRC1492,BKRC149,C Acc,Accumulation,IA Europe Excluding UK,european_equity,,,0.88,57.1,Bloomberg Europe Developed Market ex-UK Large & Mid Cap Total Return Index,15.8,38.73,65.86,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Asia Pacific Fund,GB00B719QW87,B719QW8,C Acc,Accumulation,IA Asia Pacific ex Japan,asia_pacific_equity,,,0.86,136.6,Bloomberg APAC ex Japan Large & Mid Cap Total Return China Capped Index,37.03,50.83,33.25,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge North American Fund,GB00B73N3278,B73N327,C Acc,Accumulation,IA North America,north_american_equity,,,0.52,244.5,Bloomberg North America Large & Mid Cap Total Return Index,11.92,51.49,86.82,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Global Equity Fund,GB00B78SPK99,B76WSL5,C Acc,Accumulation,IA Global,global_equity,,,0.59,83.3,Bloomberg Developed Market Large & Mid Cap Total Return Index,15.27,50.86,84.73,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Corporate Bond Fund,GB00B6ZMK027,B6ZMK02,C Acc,Accumulation,IA £ Corporate Bond,corporate_bond,,,0.50,102.4,Markit iBoxx GBP Corp TR,7.39,21.84,3.64,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Short Duration Corporate Bond Fund,GB00BD0CNM97,BD0CNM9,C Acc,Accumulation,IA £ Corporate Bond,short_duration_bond,,,0.41,82.2,Markit iBoxx GBP NonGilts 1-5 TR,5.89,19.98,14.58,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Global Macro Bond Fund,GB00B4LW2X97,B4LW2X9,C Acc,Accumulation,IA Global Mixed Bonds,global_macro_bond,,,0.64,56.1,IA Global Mixed Bonds,2.29,6.98,-1.61,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Sterling Liquidity Fund,GB00BYW8XV16,BYW8XV1,I Acc,Accumulation,IA Standard Money Market,money_market,,,0.15,1391.3,SONIA,4.31,15.23,17.37,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Sterling Short Term Bond Fund,GB00BN2S5T65,,I Acc,Accumulation,IA Standard Money Market,short_term_bond,,,0.15,38.5,SONIA,4.59,16.18,,2026-02-28,2026-02-01,Waystone Management (UK) Ltd,False,
WS Keyridge Diversified Risk Managed V Fund,GB00BLB05M23,BLB05M2,C,Accumulation,IA Volatility Managed,multi_asset_growth,5,,,,,,,,,,Waystone Management UK Ltd,False,low
